------Generation 0------
Rule  1: 1c11a, Class:  0, CF:  1, Len:  5, Fitness_tra: 56
Rule  2: 51117, Class:  1, CF:0.772995, Len:  5, Fitness_tra: 16
Rule  3: 17411, Class:  0, CF:0.72482, Len:  5, Fitness_tra: 4
Rule  4: 21147, Class:  1, CF:0.964239, Len:  5, Fitness_tra: 28
Rule  5: 91111, Class:  1, CF:0.720942, Len:  5, Fitness_tra: 28
Rule  6: 51115, Class:  1, CF:  1, Len:  5, Fitness_tra: 17
Rule  7: 5411a, Class:  0, CF:0.621491, Len:  5, Fitness_tra: 8
Rule  8: 511b7, Class:  1, CF:0.969152, Len:  5, Fitness_tra: 19
Rule  9: 111b7, Class:  1, CF:0.892587, Len:  5, Fitness_tra: 2
Rule 10: d8711, Class:  0, CF:  1, Len:  5, Fitness_tra: 8
Rule 11: 32211, Class:  0, CF:0.994635, Len:  5, Fitness_tra: 6
Rule 12: d112b, Class:  1, CF:0.971222, Len:  5, Fitness_tra: 5
Rule 13: 1dc11, Class:  0, CF:  1, Len:  5, Fitness_tra: 4
Rule 14: 32b11, Class:  0, CF:0.958974, Len:  5, Fitness_tra: 1
Rule 15: 5141c, Class:  1, CF:0.99878, Len:  5, Fitness_tra: 1
Rule 16: 1117b, Class:  1, CF:0.873321, Len:  5, Fitness_tra: 1
Rule 17: 11115, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: ec41a, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: ec22e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e2482, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 34281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e7422, Class:  1, CF:0.955598, Len:  5, Fitness_tra: 0
Rule 23: 9741c, Class:  1, CF:0.999674, Len:  5, Fitness_tra: 0
Rule 24: 25271, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 32b12, Class:  0, CF:0.626778, Len:  5, Fitness_tra: 0
Rule 26: 18112, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: e2b12, Class:  1, CF:0.343809, Len:  5, Fitness_tra: 0
Rule 28: 9c242, Class:  0, CF:0.835362, Len:  5, Fitness_tra: 0
Rule 29: 9274b, Class:  1, CF:0.823491, Len:  5, Fitness_tra: 0
Rule 30: 18272, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 12112, Class:  1, CF:0.280886, Len:  5, Fitness_tra: 0
Rule 32: e81b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: e122b, Class:  1, CF:0.976284, Len:  5, Fitness_tra: 0
Rule 34: e2b18, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 35: d522b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 36: 11217, Class:  1, CF:0.162148, Len:  5, Fitness_tra: 0
Rule 37: 12722, Class:  1, CF:0.845726, Len:  5, Fitness_tra: 0
Rule 38: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 32cb4, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
