------Generation 0------
Rule 61: 1b72412427, Class:  2, CF:0.992695, Len: 10, Fitness_tra: -1
Rule 62: b2242e4421, Class:  2, CF:0.403908, Len: 10, Fitness_tra: 0
Rule 63: 7518aab777, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b4b21abb41, Class:  4, CF:0.996313, Len: 10, Fitness_tra: 0
Rule 65: 734d3341b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1242812551, Class:  2, CF:  1, Len: 10, Fitness_tra: 3
Rule 67: 1b42667242, Class:  4, CF:0.99974, Len: 10, Fitness_tra: 0
Rule 68: 1717d3bbb2, Class:  2, CF:0.982862, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 81147214c1, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 71: 7772227b7b, Class:  2, CF:0.695094, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 2722ff2b47, Class:  4, CF:0.999984, Len: 10, Fitness_tra: 0
Rule 75: 1141132911, Class:  2, CF:  1, Len: 10, Fitness_tra: 5
Rule 76: 2c7b252811, Class:  2, CF:  1, Len: 10, Fitness_tra: 4
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1d1129bc11, Class:  1, CF:0.289581, Len: 10, Fitness_tra: -2
Rule 79: 1241357791, Class:  2, CF:  1, Len: 10, Fitness_tra: 1
Rule 80: 29775317b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 81: 7247667474, Class:  4, CF:0.999986, Len: 10, Fitness_tra: 0
Rule 82: 0000500000, Class:  3, CF:0.216632, Len:  1, Fitness_tra: -181
Rule 83: 1fbcc17772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
